student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,early_risk_score,early_risk_level,risk_reason
417,25.9,79.2,5.7,100.0,A,0,Low,no early-warning indicator
418,15.8,90.1,5.7,96.3,A,0,Low,no early-warning indicator
419,23.3,66.9,4.6,100.0,A,1,Moderate,low attendance
420,15.5,98.2,4.7,90.5,A,0,Low,no early-warning indicator
421,29.4,91.3,7.9,100.0,A,0,Low,no early-warning indicator
422,27.3,83.0,5.4,100.0,A,0,Low,no early-warning indicator
423,13.3,75.8,8.7,71.4,B,0,Low,no early-warning indicator
424,21.8,100.0,7.1,89.8,A,0,Low,no early-warning indicator
425,19.5,91.0,7.2,81.8,B,0,Low,no early-warning indicator
426,24.6,93.6,4.9,100.0,A,0,Low,no early-warning indicator
427,8.2,85.1,9.9,74.1,B,1,Moderate,low self-study
428,19.8,100.0,4.9,100.0,A,0,Low,no early-warning indicator
429,22.4,82.9,4.4,96.4,A,0,Low,no early-warning indicator
430,2.7,88.0,5.1,47.0,D,1,Moderate,low self-study
431,6.7,90.2,4.2,46.4,D,1,Moderate,low self-study
432,0.7,89.0,6.8,54.4,D,1,Moderate,low self-study
433,13.1,93.6,5.3,76.0,B,0,Low,no early-warning indicator
434,20.0,80.1,2.2,97.8,A,1,Moderate,low participation
435,25.5,95.1,6.7,100.0,A,0,Low,no early-warning indicator
436,15.5,91.8,4.9,92.8,A,0,Low,no early-warning indicator
437,26.4,90.4,6.3,100.0,A,0,Low,no early-warning indicator
438,5.3,97.0,3.7,78.9,B,1,Moderate,low self-study
439,3.1,78.2,3.8,74.0,B,1,Moderate,low self-study
440,14.6,81.0,5.5,75.3,B,0,Low,no early-warning indicator
441,17.7,90.2,6.1,88.4,A,0,Low,no early-warning indicator
442,14.8,95.8,7.9,81.0,B,0,Low,no early-warning indicator
443,0.5,89.4,8.9,45.8,D,1,Moderate,low self-study
444,14.4,97.7,6.4,80.3,B,0,Low,no early-warning indicator
445,5.9,89.5,8.3,69.6,C,1,Moderate,low self-study
446,19.7,81.0,7.8,98.2,A,0,Low,no early-warning indicator
447,17.6,84.0,5.5,100.0,A,0,Low,no early-warning indicator
448,8.4,95.8,6.2,89.5,A,1,Moderate,low self-study
449,11.4,95.8,7.2,66.9,C,0,Low,no early-warning indicator
450,7.6,61.6,8.4,80.3,B,2,High,"low attendance, low self-study"
451,14.6,92.6,2.8,67.3,C,1,Moderate,low participation
452,21.7,80.6,8.4,100.0,A,0,Low,no early-warning indicator
453,8.1,99.4,4.8,78.7,B,1,Moderate,low self-study
454,18.5,94.1,8.1,86.2,A,0,Low,no early-warning indicator
455,11.3,92.8,7.5,71.9,B,0,Low,no early-warning indicator
456,9.4,88.3,6.6,49.3,D,1,Moderate,low self-study
457,14.3,83.4,5.0,93.4,A,0,Low,no early-warning indicator
458,7.8,89.2,6.4,55.0,C,1,Moderate,low self-study
459,11.1,76.4,4.3,79.6,B,0,Low,no early-warning indicator
460,6.6,99.9,4.2,51.9,D,1,Moderate,low self-study
461,28.8,70.1,3.9,100.0,A,1,Moderate,low attendance
462,15.2,100.0,3.5,94.0,A,0,Low,no early-warning indicator
463,10.1,100.0,4.9,96.2,A,0,Low,no early-warning indicator
464,16.5,78.7,5.9,77.5,B,0,Low,no early-warning indicator
465,14.2,81.9,6.0,85.2,A,0,Low,no early-warning indicator
466,13.5,96.6,4.9,99.2,A,0,Low,no early-warning indicator
467,19.3,72.7,7.2,92.8,A,1,Moderate,low attendance
468,20.3,89.4,4.9,100.0,A,0,Low,no early-warning indicator
469,11.3,97.7,5.0,72.3,B,0,Low,no early-warning indicator
470,11.0,96.7,7.0,65.7,C,0,Low,no early-warning indicator
471,13.1,82.8,8.9,66.0,C,0,Low,no early-warning indicator
472,0.0,97.2,3.9,60.0,C,1,Moderate,low self-study
473,4.4,88.1,4.5,63.6,C,1,Moderate,low self-study
474,24.6,98.7,5.5,100.0,A,0,Low,no early-warning indicator
475,26.5,77.8,6.3,100.0,A,0,Low,no early-warning indicator
476,13.3,79.0,8.2,82.1,B,0,Low,no early-warning indicator
477,19.0,94.1,6.1,83.4,B,0,Low,no early-warning indicator
478,17.2,98.3,5.3,97.2,A,0,Low,no early-warning indicator
479,36.6,77.7,5.2,100.0,A,0,Low,no early-warning indicator
480,22.8,89.4,5.0,100.0,A,0,Low,no early-warning indicator
481,14.1,80.7,6.2,80.2,B,0,Low,no early-warning indicator
482,8.3,78.0,5.5,78.5,B,1,Moderate,low self-study
483,3.8,88.3,6.5,67.7,C,1,Moderate,low self-study
484,16.4,84.5,3.7,75.5,B,0,Low,no early-warning indicator
485,9.7,79.7,4.8,74.0,B,1,Moderate,low self-study
486,5.0,74.5,6.5,68.5,C,2,High,"low attendance, low self-study"
487,10.5,52.5,4.4,66.9,C,1,Moderate,low attendance
488,7.4,84.7,4.2,87.8,A,1,Moderate,low self-study
489,26.8,72.8,6.4,100.0,A,1,Moderate,low attendance
490,21.2,82.5,9.3,100.0,A,0,Low,no early-warning indicator
491,14.9,96.7,8.4,88.1,A,0,Low,no early-warning indicator
492,25.4,78.1,5.4,100.0,A,0,Low,no early-warning indicator
493,15.5,70.6,8.4,100.0,A,1,Moderate,low attendance
494,9.0,90.3,3.4,85.5,A,1,Moderate,low self-study
495,25.7,88.9,6.6,100.0,A,0,Low,no early-warning indicator
496,18.8,83.2,7.7,100.0,A,0,Low,no early-warning indicator
497,7.7,81.4,5.3,72.8,B,1,Moderate,low self-study
498,13.7,87.0,5.6,100.0,A,0,Low,no early-warning indicator
499,8.9,87.4,4.0,63.5,C,1,Moderate,low self-study
500,5.3,74.2,8.9,72.7,B,2,High,"low attendance, low self-study"
